schedule,evaluation,episode,epsilon,agent1_return_mean,agent2_return_mean,agent1_q_cooperate,agent1_q_defect,agent2_q_cooperate,agent2_q_defect
exponential,28,11200,0.039811,1.088,1.068,0.001856,1.055134,0.005536,1.065217
exponential,29,11600,0.035481,1.06,1.06,0.143936,1.038759,0.132279,1.00006
exponential,30,12000,0.031623,1.078,1.078,0.129902,1.000017,0.113413,1.0
exponential,31,12400,0.028184,1.066,1.126,0.090716,1.005044,0.083369,1.040802
exponential,32,12800,0.025119,1.088,1.068,0.077777,1.0,0.07524,1.000355
exponential,33,13200,0.022387,1.104,1.064,0.060183,1.002343,0.061284,1.000645
exponential,34,13600,0.019953,1.06,1.06,0.04424,1.008251,0.052543,1.000473
exponential,35,14000,0.017783,1.05,1.1,0.03793,1.044258,0.042797,1.022076
exponential,36,14400,0.015849,1.068,1.078,0.030894,1.000391,0.038624,1.001655
exponential,37,14800,0.014125,1.048,1.098,0.025164,1.000179,0.033115,1.000036
exponential,38,15200,0.012589,1.068,1.118,0.020496,1.0,0.031459,1.102716
exponential,39,15600,0.01122,1.076,1.076,0.016694,1.000045,0.025624,1.000024
exponential,40,16000,0.01,1.082,1.032,0.015859,1.005517,0.024343,1.000002
exponential,41,16400,0.01,1.104,1.074,0.013597,1.000113,0.021969,1.000005
exponential,42,16800,0.01,1.106,1.056,0.012272,1.000001,0.019827,1.010663
exponential,43,17200,0.01,1.04,1.08,0.011075,1.0,0.019827,1.00013
exponential,44,17600,0.01,1.094,1.074,0.011075,1.000118,0.017894,1.0
exponential,45,18000,0.01,1.142,1.052,0.009021,1.00083,0.014575,1.000081
exponential,46,18400,0.01,1.026,1.076,0.008141,1.0,0.014575,1.002556
exponential,47,18800,0.01,1.022,1.092,0.007347,1.0,0.013846,1.000254
exponential,48,19200,0.01,1.094,1.074,0.005985,1.001818,0.012496,1.049456
exponential,49,19600,0.01,1.106,1.046,0.005401,1.017052,0.011871,1.000001
constant,1,400,0.1,1.028,1.128,0.102707,1.319205,0.121681,1.238078
constant,2,800,0.1,1.068,1.048,0.188757,1.161066,0.215752,1.131429
constant,3,1200,0.1,1.076,1.056,0.083077,1.155272,0.0857,1.097586
constant,4,1600,0.1,1.086,1.076,0.119271,1.002491,0.173222,1.094361
constant,5,2000,0.1,1.046,1.086,0.034826,1.364937,0.041197,1.266102
constant,6,2400,0.1,1.124,1.014,0.08058,1.217696,0.077487,1.186201
constant,7,2800,0.1,1.064,1.104,0.030407,1.129204,0.044074,1.074892
constant,8,3200,0.1,1.078,1.048,0.012078,1.000258,0.021494,1.200257
constant,9,3600,0.1,1.096,1.066,0.003712,1.122988,0.005962,1.241356
constant,10,4000,0.1,1.022,1.112,0.001141,1.33877,0.002624,1.229234
constant,11,4400,0.1,1.114,1.054,0.000333,1.223017,0.000894,1.185217
constant,12,4800,0.1,1.062,1.072,0.000154,1.012228,0.000374,1.020466
constant,13,5200,0.1,1.072,1.072,0.195007,1.434471,0.189352,1.027143
constant,14,5600,0.1,1.028,1.098,0.183847,1.086172,0.222,1.130467
constant,15,6000,0.1,1.136,1.046,0.1648,1.030128,0.3532,1.479884
constant,16,6400,0.1,1.12,1.04,0.175863,1.343524,0.234834,1.085026
constant,17,6800,0.1,1.082,1.052,0.188499,1.078471,0.210791,1.223064
constant,18,7200,0.1,1.034,1.124,0.133689,1.450541,0.165137,1.531033
constant,19,7600,0.1,1.154,1.034,0.24881,1.053137,0.317526,1.161207
constant,20,8000,0.1,1.076,1.056,0.292125,1.454526,0.315147,1.022599
constant,21,8400,0.1,1.04,1.11,0.162301,1.092895,0.217089,1.31503
constant,22,8800,0.1,1.086,1.046,0.113409,1.455414,0.143842,1.036024
constant,23,9200,0.1,1.114,1.024,0.113693,1.179929,0.187991,1.11636
constant,24,9600,0.1,1.074,1.034,0.163604,1.223272,0.103068,1.052623
constant,25,10000,0.1,1.126,1.036,0.267782,1.357052,0.226622,1.26398
constant,26,10400,0.1,1.042,1.102,0.17705,1.269616,0.189531,1.05991
constant,27,10800,0.1,1.116,1.016,0.15328,1.183715,0.153264,1.317483
constant,28,11200,0.1,1.088,1.068,0.047112,1.340233,0.064083,1.221041
constant,29,11600,0.1,1.06,1.06,0.266364,1.097406,0.253043,1.117142
constant,30,12000,0.1,1.078,1.078,0.29222,1.071479,0.298534,1.139085
constant,31,12400,0.1,1.066,1.126,0.393291,1.150224,0.321987,1.146011
constant,32,12800,0.1,1.088,1.068,0.201893,1.185145,0.165289,1.232416
constant,33,13200,0.1,1.104,1.064,0.068757,1.214445,0.069111,1.172734
constant,34,13600,0.1,1.06,1.06,0.154552,1.016303,0.148086,1.009436
constant,35,14000,0.1,1.05,1.1,0.06139,1.144979,0.076019,1.13084
constant,36,14400,0.1,1.068,1.078,0.028442,1.036866,0.035219,1.050678
constant,37,14800,0.1,1.048,1.098,0.124372,1.03539,0.112138,1.094012
constant,38,15200,0.1,1.068,1.118,0.203681,1.204964,0.165697,1.449805
constant,39,15600,0.1,1.076,1.076,0.185225,1.131979,0.20242,1.299529
constant,40,16000,0.1,1.082,1.032,0.198455,1.070234,0.231591,1.270875
constant,41,16400,0.1,1.104,1.074,0.071143,1.043313,0.096833,1.184705
constant,42,16800,0.1,1.106,1.056,0.092865,1.145718,0.097348,1.045556
constant,43,17200,0.1,1.04,1.08,0.180045,1.067886,0.188668,1.02057
constant,44,17600,0.1,1.094,1.074,0.115289,1.19795,0.177575,1.393193
constant,45,18000,0.1,1.142,1.052,0.0373,1.038318,0.049258,1.01257
constant,46,18400,0.1,1.026,1.076,0.256974,1.058646,0.248065,1.049725
constant,47,18800,0.1,1.022,1.092,0.307662,1.011243,0.278441,1.247331
constant,48,19200,0.1,1.094,1.074,0.069512,1.57679,0.090085,1.273527
constant,49,19600,0.1,1.106,1.046,0.033899,1.274388,0.033994,1.019411
